Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.33977178061113966,2.0376249178281087,0.2402060828260165,0.0256584582083175,0.01026099591905491,1.2421645702500586
Caza y pesca,0.308702166776863,0.24283852333076159,0.01539130187949389,0.011061802464512712,0.011027840076106226,3.168496912527274
Minería (energía),0.40502330887779947,0.39103701501414984,0.01059349928904058,0.014411120540685237,0.006628830932054376,1.2225292452990306
Minería (no energía),0.2869951890546313,0.5185068277984497,0.014643184732575544,0.016858594636766228,0.008534142079322692,1.0261630054049906
Carne y derivados,0.7895710868642851,0.10337317804983409,0.014521829453329896,0.09856110834618402,0.011356398319887153,3.11373740086067
"Molinería, panadería y pastas",0.6520053549664087,0.10529278220504164,0.013885565059339272,0.06983854746515442,0.011720524891851063,6.9903111885561415
Azúcar y productos de confitería,0.6077702016075521,0.20369516999725018,0.020734943420480406,0.05299883752214685,0.005831585656134389,2.25746418996946
Otros productos alimenticios,0.6393619305475613,0.20767809024563438,0.013850892735149918,0.04012817910428066,0.015557431054296486,5.560661515063008
Bebidas,0.5216613949945021,0.020838602443484476,0.0014301877023224028,0.04496463316765145,0.015090025252664705,4.461297545882407
Productos de tabaco,0.7124619589614208,2.328871773037959e-05,2.7692930734887605e-06,0.06061559692459266,0.0,0.0
Textiles,0.43532071396780564,0.5398140544278546,0.027530542123392582,0.029320261382964587,0.005731709486182448,0.9634327539997419
Confecciones,0.5157274627171697,0.023121489463096813,0.0008339811829357859,0.023582100653841392,0.015225031444672719,2.3885997497351057
Calzado,0.6080049234023215,0.19196881205610017,0.012735326980117888,0.035225470135807194,0.015557907909747749,16.389364865600438
Madera y productos de madera y corcho,0.4660198233873336,0.635630891244872,0.03226770063316591,0.04153220545675298,0.004716979350838677,0.7213645139567713
"Pulpa de madera, papel, imprentas y editoriales",0.37841254303756755,0.4919885285532004,0.02902594987150144,0.015418779733756804,0.003535321289925241,0.7678910365257188
"Coque, petróleo refinado y combustible nuclear",0.4084472015141882,0.52362356868159,0.0208019690944822,0.012658231915250503,0.012440470831234517,1.513248683518958
Productos químicos básicos,0.37725019842857455,0.18662704413004133,0.008708221695817335,0.02375569755747888,0.005860826783004336,1.0458487780208046
Otros productos químicos (excluye farmacéuticos),0.22587960467853874,0.25001899464385735,0.010356679005045579,0.015881623140373387,0.010736289904472358,1.2985274570663023
Productos farmacéuticos,0.2743163131569516,0.01862900369969259,0.0008527764597986618,0.02343708128195959,0.00672089875606956,3.2365318650138524
Productos de caucho y plástico,0.23038163801269043,0.36483336845359143,0.017326176074946267,0.01838023858232015,0.004519420121687654,0.5504708740758162
Productos minerales no metálicos,0.42009715675862447,0.2291097068303742,0.009422051252132602,0.015347963156108143,0.009107531181408036,1.3958876481787035
Hierro y acero,0.3852312047600769,0.8208080186598783,0.030430075088820254,0.02519552892406676,0.007924396840453894,1.030430969267381
Metales no ferrosos,0.6294115785261589,0.18500655119871906,0.00686290514365934,0.014253385263074474,0.01092444762094054,1.3373248414165047
Productos fabricados de metal (excepto maquinarias y equipos),0.27857052075967814,0.07594633016633283,0.003069845600081228,0.013811277573967922,0.007815706589326553,0.960014456303399
Maquinarias y equipos (excluye maquinaria eléctrica),0.20469091648341348,0.06704865025058862,0.0027244699802179673,0.010686920435582609,0.005383912688616486,0.6674370489524571
Equipos de oficina (incluye equipo computacional),0.4440831699856498,0.02930308319650104,0.0012167155874645236,0.01739777270160282,0.018682702460747748,3.263770338960846
Maquinarias y aparatos eléctricos,0.5636651332090584,0.2693797054308262,0.011185119475189737,0.022082615442748615,0.0216968873865769,4.132366874987696
"Radio, televisión y equipos de telecomunicaciones",0.49170078901104913,0.11645539938758873,0.00483543314296036,0.019263280265022047,0.019947693373253923,3.609646069918994
Equipo médico e instrumentos ópticos y de precisión,0.5614865614947945,0.15098064490553545,0.0062689821009669884,0.021997265900003886,0.02164656626167808,4.116542583485135
"Vehículos de motor, remolques y semirremolques",0.2589298281206356,0.24317584010675306,0.005369691601159033,0.011120210453899009,0.013398951922065666,8.714299389842061
Aeronaves y naves espaciales,0.25883317188379523,0.0014168900205146875,3.128708197156347e-05,0.01111605937673981,0.013398075980000555,8.711060649622922
Otro equipo de transporte,0.25883316821179136,0.004516588935375132,9.973313821605308e-05,0.011116059219038962,0.013398075946712601,8.711060526582203
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.6355615540602906,0.16119356663800163,0.006221293301730089,0.022069780791420367,0.028347497812351907,3.105999451305493
Electricidad y gas,0.6699149686744336,0.8594005984065223,0.03893767739045599,0.02023727236790635,0.005767356335900262,1.2946748721533738
Construcción,0.4323198274756866,0.05487905427944968,0.0014553255820536903,0.019844776483976458,0.011450296597954152,1.3584857865981619
Transporte,0.2943349882411066,0.8015189994329444,0.03420426294881902,0.014684393185687327,0.0036955538772860713,0.5015891168185309
Correo y telecomunicaciones,0.2890168740782095,0.23047425764148272,0.009629123028434003,0.01367892903216067,0.009270302746874308,1.3882038766259988
Finanzas y seguros,0.38222396015650745,0.6003181600554321,0.029317335205226842,0.01801607419167014,0.009410291525755185,1.3359503816553775
Servicios a empresas de todo tipo,0.2505001197635928,1.8103235511600093,0.10051143924198522,0.012809389104607048,0.009950503271373654,1.190976101692578
Otros servicios,0.2586969589221748,3.3827674984548626,0.19250765459643018,0.010982477909919776,0.02478640298834767,2.774731574836896
