Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.4080841606876539,1.4470218642262764,0.3339857065065026,0.05214191578401246,0.01615303648450998,2.7371028832108064
Caza y pesca,0.18349741571174785,0.0615689826273835,0.0034929805657599737,0.008143580030433233,0.007453863596594528,3.6905068325385817
Minería (energía),0.10603540095078884,0.7433951605389695,0.04066489587965452,0.004885596199933243,0.0011367976987466627,0.20692839725170276
Minería (no energía),0.296058640013103,0.20703941414976276,0.005984289934027744,0.01280372234532084,0.020741030790992362,3.022735750261776
Carne y derivados,0.7451782967886016,0.19264878496138899,0.05541706366711877,0.1884379884014964,0.012457351243231492,5.97322659570012
"Molinería, panadería y pastas",0.5060445191418401,0.2176873750051953,0.02666680600797246,0.0714028895971484,0.013911731969643635,3.970710070408107
Azúcar y productos de confitería,0.48639519228923717,0.15655917695397686,0.023234513927544328,0.11605525888457358,0.00909183213347273,2.278758407583223
Otros productos alimenticios,0.49981157506411267,0.36863197286688804,0.03800117139200827,0.08125582004613287,0.01957765672277162,4.313623666420989
Bebidas,0.373109903640789,0.06130695286491818,0.0028523329323343364,0.013809244861988689,0.02151959326146268,3.0620521348422036
Productos de tabaco,0.33946966448463184,0.0010277794818369314,4.83500929901977e-05,0.05024739067551165,0.0061956476749655785,0.8832742784636289
Textiles,0.34450651214708716,0.39285625643785405,0.014046620782905882,0.014329913188495766,0.010718041062313086,1.9327687478469096
Confecciones,0.45694283755184717,0.09838970894311863,0.0029782053940863758,0.01601175388283896,0.018908641631960568,6.1184238784580325
Calzado,0.30430082788224566,0.08452005210981393,0.0018892010887547684,0.009072575278038009,0.01962529985983735,16.32425711683666
Madera y productos de madera y corcho,0.4937890372306403,0.2784019538196515,0.015727100202201274,0.03847292785083617,0.013850045047469067,4.354442330624615
"Pulpa de madera, papel, imprentas y editoriales",0.3530289357533707,0.4625792786712669,0.021328552825388935,0.013463748977778066,0.011207561468026454,1.8865131449767425
"Coque, petróleo refinado y combustible nuclear",0.7284459989054152,0.15600067127242023,0.00712343924471366,0.03260208058289504,0.004682085878507105,0.7419166682187048
Productos químicos básicos,0.44367109280437483,0.8776405442200407,0.03856801749366588,0.019519104922816062,0.009819869401553648,1.6890458333781377
Otros productos químicos (excluye farmacéuticos),0.32150506778975485,0.3194378453281941,0.014197504490886855,0.011907085264377993,0.014417480015130067,2.2799644132052683
Productos farmacéuticos,0.2815500970963675,0.045420617671649406,0.0023712801547228213,0.011767817165775516,0.010587140611737286,2.4110186492433607
Productos de caucho y plástico,0.3713044102132694,0.30739374361436117,0.016615619313109873,0.015407151336641927,0.014060327055919322,1.941426321187591
Productos minerales no metálicos,0.5362912253286063,0.29259876564345483,0.00887951359808166,0.01836519404307224,0.019575835743665667,3.498636203584554
Hierro y acero,0.4188619964286709,0.4220786752605548,0.010326331925625558,0.01122241033996281,0.01359629033172855,2.896378914972957
Metales no ferrosos,0.5163263107437909,0.6113178562343764,0.016194542143436765,0.012328082893227649,0.014935536105986712,3.196823928556412
Productos fabricados de metal (excepto maquinarias y equipos),0.4683644951539625,0.468254625301724,0.01733776695059958,0.013169867903638392,0.022341344489345716,3.300620098393711
Maquinarias y equipos (excluye maquinaria eléctrica),0.21484519501972005,0.17471186072587755,0.008488409884941256,0.009433014651636111,0.007835375526480658,1.1220981272321013
Equipos de oficina (incluye equipo computacional),0.4866557817687469,0.004448075820597148,0.0001208965505987696,0.013526440287405841,0.01957554164095573,13.631202244563385
Maquinarias y aparatos eléctricos,0.2914830610475244,0.19982273427770286,0.005304901564852924,0.00922395342222466,0.012352568756181983,1.9481097794163533
"Radio, televisión y equipos de telecomunicaciones",0.0,0.0,0.0,0.0,0.0,0.0
Equipo médico e instrumentos ópticos y de precisión,0.35687192997656403,0.04556213681822286,0.0021161200360080555,0.01175719707566046,0.01912532781247396,2.948066220095962
"Vehículos de motor, remolques y semirremolques",0.04796679353976651,0.10690027465511388,0.005613599537776379,0.001415570721569828,0.0017635096119137969,0.302634838168647
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.0,0.0
Otro equipo de transporte,0.5139985552891533,0.050478356993699465,0.001739237046137941,0.016989782997819496,0.017493577339537516,24.73819555509821
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.4985091602734207,0.29585052693820046,0.013339699497677793,0.016239469035321728,0.023298271485100636,4.055874798308249
Electricidad y gas,0.26502213700143923,0.42401885836665754,0.021005958898288796,0.011798448032990117,0.009003905396256558,1.2736392951560311
Construcción,0.2669008502280209,0.17962067284364436,0.006854382422048776,0.005480562507410533,0.015263145829166965,2.6056477832956237
Transporte,0.47520629084490856,0.7587807684327713,0.04144575599036248,0.026231974221449843,0.011068690189342149,1.6731084572540096
Correo y telecomunicaciones,0.0790587465507458,0.22303641229583798,0.008859354549256118,0.0030963759110796585,0.001258834150312917,0.23006880992744483
Finanzas y seguros,0.37313230725698043,0.688566268987126,0.03206339547556034,0.017052460666780567,0.005371649888606375,0.9097709832502971
Servicios a empresas de todo tipo,0.15214360089923423,1.2169204574046166,0.052017754522314275,0.0073067304331792095,0.006032887377012579,0.8856733581270305
Otros servicios,0.286750223217222,1.6486227839502117,0.08309872751008288,0.013624899578526216,0.023386286496330944,3.1914338750199853
