,Agricultura y forestal,Carne y derivados,Finanzas y seguros,Otros servicios
Argentina,0.13348388671875,0.1371002197265625,0.147613525390625,0.079620361328125
Bolivia,0.070770263671875,0.0679168701171875,0.0576324462890625,0.039459228515625
Brasil,0.195037841796875,0.2018585205078125,0.1953582763671875,0.1767578125
Chile,0.07562255859375,0.110870361328125,0.1063690185546875,0.15960693359375
Colombia,0.1583709716796875,0.2107391357421875,0.19830322265625,0.085174560546875
Ecuador,0.082794189453125,0.1505126953125,0.1222076416015625,0.086395263671875
Paraguay,0.077972412109375,0.049774169921875,0.08331298828125,0.0426025390625
Peru,0.1510009765625,0.1897735595703125,0.1613922119140625,0.095947265625
Sudamerica,0.164886474609375,0.19219970703125,0.182281494140625,0.149139404296875
Uruguay,0.1522369384765625,0.1897125244140625,0.168792724609375,0.0928497314453125
Venezuela,0.1429595947265625,0.162322998046875,0.1322174072265625,0.101593017578125
